Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
17,2013,23.48,18,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association
18,2013,,19,Divergent,"9,704",4.7,Veronica Roth
19,2013,4.99,20,Laugh-Out-Loud Jokes for Kids,"10,755",4.6,Rob Elliott
20,2013,8.48,21,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
21,2013,17.89,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","7,263",4.5,Malcolm Gladwell
22,2013,54.98,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,357",4.6,George R.R. Martin
23,2013,12.04,24,Allegiant,"24,599",3.9,Veronica Roth
24,2013,15.16,25,And the Mountains Echoed,"17,321",4.4,Khaled Hosseini
25,2013,15.38,26,Humans of New York,"5,378",4.8,Brandon Stanton
26,2013,32.0,27,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,
27,2013,16.0,28,Doctor Sleep: A Novel,"23,821",4.7,Stephen King
28,2013,4.44,29,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,691",4.5,Rob Elliott
29,2013,22.33,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"42,872",4.0,Donna Tartt
0,2014,18.29,1,StrengthsFinder 2.0,Gallup,4.1,
1,2014,,2,Frozen (Little Golden Book),RH Disney,4.8,
2,2014,4.99,3,Laugh-Out-Loud Jokes for Kids,"10,755",4.6,Rob Elliott
3,2014,6.1,4,The Fault in Our Stars,John Green,4.7,
4,2014,10.51,5,Diary of a Wimpy Kid: The Long Haul,"13,537",4.8,Jeff Kinney
5,2014,13.3,6,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"18,874",4.7,Randall Munroe
6,2014,11.49,7,"The Blood of Olympus (The Heroes of Olympus, 5)","15,194",4.8,Rick Riordan
7,2014,7.53,8,"Jesus Calling, Padded Hardcover, with Scripture references","31,212",4.9,Sarah Young
8,2014,12.79,9,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,642",4.8,Laura Hillenbrand
9,2014,6.99,10,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.6,
10,2014,9.19,11,The Day the Crayons Quit,"19,921",4.8,Drew Daywalt
11,2014,,12,Divergent,"9,704",4.7,Veronica Roth
12,2014,11.06,13,The Fault in Our Stars,John Green,4.7,
13,2014,8.48,14,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
14,2014,17.36,15,To Kill a Mockingbird,"68,978",4.8,Harper Lee
15,2014,15.99,16,Gone Girl,"67,025",4.1,Gillian Flynn
16,2014,6.99,17,The Book Thief,"34,566",4.7,Markus Zusak
17,2014,41.47,18,The Official SAT Study Guide,The College Board,4.4,
18,2014,15.38,19,Humans of New York,"5,378",4.8,Brandon Stanton
